Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,Habitability_score
2,3342,5.0,6,1,0,1,2,5.07,1,2,80.0,3.57,72.3
1,409,3.0,1,1,1,1,2,8.67,3,0,191.0,3.34,72.89
4,651,4.0,3,1,1,1,3,8.4,1,0,195.0,3.02,70.55
1,812,4.0,3,1,0,1,2,6.74,3,2,123.0,4.13,88.75
2,2308,8.0,6,2,0,1,3,5.27,1,2,91.0,3.86,73.06
1,500,4.0,1,1,0,1,0,2.47,4,1,4.0,3.74,89.03
1,189,4.0,2,0,0,0,4,5.47,1,2,89.0,3.24,73.29
1,684,4.0,2,1,0,2,3,5.59,1,2,88.0,3.87,77.44
4,1005,5.0,3,2,1,1,0,5.63,0,2,87.0,2.93,33.94
0,783,2.0,2,0,0,1,3,5.05,1,2,84.0,3.87,72.83
5,1672,4.0,2,0,0,1,4,6.73,1,2,83.0,3.24,87.83
1,316,3.923768001056943,2,1,2,1,3,6.24,0,2,157.0,1.89,33.27
5,1192,5.0,2,1,0,1,2,5.81,0,2,96.0,2.91,75.23
5,2003,3.0,2,0,0,1,0,6.14,3,2,162.0,4.71,86.17
5,13602,5.0,2,1,0,1,0,7.7,4,2,89.0,4.79,74.93
5,2290,2.0,2,2,0,1,0,5.55,1,2,88.0,4.18,73.03
1,112,3.0,1,0,0,1,0,6.0,1,2,95.0,4.17,70.87
4,777,7.0,2,1,2,1,3,4.81,0,2,103.0,1.97,45.66
1,209,1.0,3,0,1,1,0,3.15,1,1,75.0,3.65,78.14
1,497,3.0,3,0,0,1,2,6.95,3,2,104.0,4.15,75.72
1,699,1.0,2,2,0,1,0,6.03,3,2,151.0,4.73,77.41
4,649,7.0,3,1,1,2,0,5.46,1,2,119.0,3.51,76.96
4,518,5.0,2,1,1,1,2,7.3,3,2,161.0,3.45,73.55
1,729,3.0,1,3,0,2,2,7.93,3,2,139.0,4.1,82.47
5,13700,5.0,4,2,1,1,0,7.8,3,0,80.0,4.11,72.35
5,1340,2.0,2,0,4,1,0,6.61,1,2,91.0,4.17,77.63
5,1986,5.0,2,1,0,1,2,5.78,3,2,112.0,4.15,76.37
2,2840,14.0,4,1,0,1,4,6.3,3,2,118.0,3.82,84.74
5,2281,4.0,4,1,0,1,2,7.8,1,2,119.0,3.5,71.15
2,3212,15.0,2,1,0,0,3,6.3,3,2,130.0,4.44,76.03
5,1166,3.0,2,2,1,1,0,7.19,2,2,89.0,2.29,23.18
5,1145,2.0,3,0,0,1,0,7.08,3,2,117.0,4.76,85.57
1,579,2.0,1,1,1,1,1,7.02,3,2,137.0,4.11,81.19
5,1495,5.0,2,1,0,1,2,8.04,3,0,157.0,4.02,72.74
4,720,6.0,2,1,1,1,3,5.22,1,2,97.0,3.23,67.15
4,877,7.0,1,1,0,1,3,7.3,1,2,124.0,3.81,77.18
5,1801,4.0,3,2,4,1,0,5.1,1,2,118.0,3.52,61.37
1,951,1.0,3,2,1,1,2,5.35,4,2,93.0,2.92,41.88
4,1255,6.0,2,2,2,1,0,5.67,0,2,95.0,2.29,41.75
5,1178,4.0,1,2,0,1,3,4.37,0,2,103.0,3.23,45.15
5,1500,5.0,3,1,0,2,4,5.68,1,2,94.0,3.23,71.15
0,602,4.0,2,1,0,1,3,7.47,1,2,130.0,3.8,70.14
1,980,3.0,2,1,1,2,0,5.97,1,2,106.0,3.53,75.76
5,2274,2.0,2,2,0,2,3,5.92,1,2,118.0,3.83,73.29
4,666,6.0,2,0,0,1,0,5.69,3,2,111.0,4.78,82.45
1,559,3.0,2,2,0,1,3,6.79,1,2,141.0,3.79,68.45
1,312,2.0,2,2,0,1,2,6.29,1,2,150.0,3.47,36.48
1,683,1.0,2,1,0,1,0,6.9,3,2,167.0,4.7,73.86
1,407,1.0,1,1,1,1,0,5.37,3,2,114.0,4.15,84.91
3,289,1.0,2,1,0,1,0,7.77,2,2,96.0,2.9,65.48
5,1351,4.0,1,2,4,1,0,6.69,3,2,84.0,4.18,75.99
4,670,6.0,3,0,0,1,0,6.94,1,2,105.0,4.15,75.08
5,1345,3.0,2,1,1,1,3,2.58,1,1,23.0,3.4,75.39
5,9823,4.0,2,1,0,2,4,6.56,2,2,143.0,1.91,66.39
5,1409,2.0,4,2,0,1,0,7.62,1,2,93.0,4.16,62.92
1,730,2.0,2,2,0,1,2,7.04,1,2,150.0,3.47,47.11
5,1763,2.0,3,2,0,2,0,9.02,0,0,190.0,3.34,74.81
0,617,7.0,3,1,1,1,2,7.41,3,2,141.0,3.47,75.24
5,1258,3.0,3,2,0,1,4,6.49,3,3,87.0,3.86,60.15
5,2070,5.0,1,2,0,1,3,7.97,3,2,124.0,4.43,82.85
5,1559,2.0,3,1,0,1,0,9.16,4,0,171.0,4.62,83.32
4,489,3.923768001056943,3,2,0,1,0,5.66,3,2,98.0,4.79,78.33
2,2079,15.0,5,1,1,1,2,5.64,0,2,117.0,2.26,73.07
1,310,2.0,3,1,1,1,3,4.52,1,2,87.0,3.25,79.6
2,3289,12.0,2,0,0,2,0,6.33,1,2,115.0,4.14,88.48
4,724,6.0,3,2,1,1,2,6.28,3,2,158.0,3.46,60.17
1,604,3.0,3,1,0,1,0,6.5,3,2,157.0,4.72,73.94
5,1431,2.0,1,2,4,2,0,8.3,1,0,152.0,4.02,81.71
5,1906,2.0,1,1,0,1,2,5.24,1,2,119.0,3.52,67.26
2,4244,3.923768001056943,3,2,1,1,3,6.39,4,2,129.0,2.55,38.16
1,811,1.0,2,1,0,1,4,7.33,1,2,140.0,3.16,66.97
4,415,4.0,1,1,1,1,0,4.33,1,2,95.0,3.55,82.69
2,3638,9.0,3,2,2,2,3,7.32,3,2,150.0,3.15,90.78
1,171,3.0,3,2,1,1,0,6.87,3,2,80.0,4.18,63.83
1,239,3.0,2,1,0,1,0,6.45,3,2,100.0,4.79,76.87
5,1434,4.0,3,1,1,1,0,6.56,3,2,124.0,4.13,90.16
1,824,1.0,2,0,2,1,0,7.26,3,2,150.0,3.46,72.47
1,176,1.0,3,2,0,2,3,8.52,3,0,187.0,4.29,83.1
1,373,3.0,3,1,0,1,2,5.63,1,2,85.0,3.56,78.88
0,1619,2.0,4,0,0,1,0,4.94,0,2,118.0,3.52,73.64
5,1913,5.0,1,1,1,1,1,5.01,3,2,91.0,3.87,85.51
1,204,1.0,2,1,1,1,3,6.82,3,2,247.0,3.77,80.95
5,1710,3.923768001056943,4,0,0,1,3,7.54,3,2,135.0,4.42,84.0
3,309,2.0,1,1,0,1,2,5.86,1,2,117.0,3.51,61.08
3,236,2.0,2,0,1,1,4,4.71,1,2,114.0,2.58,70.51
1,474,2.0,2,2,1,1,0,5.48,1,3,92.0,3.55,57.59
5,1344,2.0,4,2,0,1,3,3.33,1,1,24.0,4.02,64.49
5,1107,2.0,4,1,0,1,2,6.71,3,2,129.0,4.12,74.41
1,207,2.0,2,1,0,1,0,7.7,3,2,160.0,4.7,75.2
3,330,1.0,1,1,0,2,0,5.86,3,2,114.0,4.77,85.16
5,1365,5.0,2,0,0,1,2,5.2,0,1,114.0,2.96,82.64
5,1201,5.0,2,2,0,2,3,6.56,3,2,131.0,4.43,74.92
4,916,6.0,3,2,0,1,0,4.6,1,2,97.0,4.18,67.0
1,386,3.0,1,2,2,1,0,5.19,0,2,115.0,2.27,32.41
5,1425,3.0,2,1,0,0,0,7.01,1,2,154.0,4.09,80.73
5,23693,2.0,2,0,0,1,3,6.65,3,2,152.0,4.41,80.83
5,2141,2.0,3,1,3,1,0,5.78,3,2,103.0,2.91,78.86
5,2209,3.0,3,1,0,2,3,5.87,1,2,95.0,3.86,80.53
5,1842,4.0,2,1,4,2,0,7.96,3,2,169.0,4.06,80.9
5,1507,5.0,2,1,0,1,3,6.34,3,2,161.0,4.4,74.11
1,516,1.0,3,0,0,1,3,5.4,1,3,87.0,3.87,76.0
4,966,5.0,1,1,1,1,0,6.78,1,2,159.0,3.46,76.15
3,269,1.0,1,2,0,1,0,7.06,3,2,151.0,4.72,75.86
1,178,4.0,3,1,0,1,3,6.66,3,1,150.0,4.47,68.4
1,175,2.0,1,0,4,1,2,4.62,0,2,110.0,2.9,79.79
4,994,4.0,2,1,1,1,0,7.78,0,2,121.0,2.87,71.52
4,886,6.0,3,1,1,2,0,5.76,0,2,89.0,2.92,93.25
1,621,1.0,2,1,0,2,0,6.1,1,2,119.0,4.14,76.86
0,1048,6.0,2,2,1,1,0,6.93,3,2,87.0,4.17,70.42
1,8403,3.0,2,3,1,1,3,6.8,0,2,114.0,2.57,24.28
4,673,7.0,1,2,0,1,0,7.11,3,2,98.0,4.79,68.32
5,1261,4.0,2,1,0,1,2,6.06,1,2,152.0,3.47,66.28
1,448,4.0,3,2,0,1,2,2.76,3,1,45.0,4.31,73.59
1,119,3.0,3,0,0,1,0,4.18,1,2,119.0,4.15,74.28
0,1646,2.0,3,1,0,1,2,6.45,1,2,128.0,3.5,76.52
3,414,3.0,2,1,0,1,0,7.38,3,2,152.0,4.72,72.16
1,773,1.0,3,1,4,1,3,5.85,3,2,111.0,4.46,86.87
1,668,4.0,3,1,0,2,3,7.28,1,2,143.0,3.79,74.62
1,998,4.0,1,2,0,1,0,7.65,1,2,148.0,4.09,70.37
5,1635,2.0,1,2,1,1,0,5.56,1,2,88.0,3.55,62.5
5,1328,4.0,4,2,4,1,2,4.95,3,2,107.0,4.16,65.17
5,1611,2.0,1,1,0,1,2,7.26,0,2,96.0,2.9,73.69
1,157,4.0,2,1,0,1,0,6.56,3,2,110.0,4.77,93.48
1,484,4.0,1,2,1,1,3,4.43,3,1,98.0,3.92,63.45
1,802,1.0,2,1,0,1,3,6.0,1,2,153.0,3.78,83.01
4,664,3.923768001056943,3,1,0,1,0,5.92,3,2,91.0,4.8,73.92
4,10867,5.0,2,2,0,2,0,7.94,2,2,134.0,2.85,57.84
4,1048,4.0,3,2,0,1,0,4.86,0,2,118.0,3.52,62.15
1,297,4.0,1,2,0,2,4,6.61,3,3,124.0,3.81,78.87
1,324,4.0,1,2,1,2,0,8.56,3,0,169.0,4.0,70.25
5,1948,2.0,2,2,1,2,0,5.59,0,2,104.0,2.91,81.12
1,428,3.923768001056943,1,1,0,1,3,6.62,1,2,139.0,3.8,80.09
5,1357,4.0,2,3,0,1,2,7.41,3,2,137.0,4.11,60.51
2,3718,15.0,4,1,1,1,0,7.92,3,2,88.0,4.17,72.3
5,2299,4.0,2,2,0,1,3,5.88,1,2,83.0,3.87,67.0
5,1763,3.0,4,0,0,1,3,9.34,3,0,129.0,4.36,76.57
5,1658,5.0,3,1,3,1,3,7.6,3,2,128.0,2.55,74.26
4,1103,4.0,1,1,1,1,0,6.62,0,2,154.0,2.84,77.15
4,1283,5.0,3,2,0,2,0,6.19,1,2,85.0,4.18,67.71
4,623,4.0,2,1,3,1,0,6.1,3,2,81.0,2.93,74.91
5,1749,5.0,2,2,0,1,2,6.69,3,2,124.0,4.13,81.63
5,1962,3.0,2,1,1,2,0,6.36,1,2,144.0,3.48,80.51
5,1322,3.923768001056943,1,1,0,1,0,4.54,3,2,89.0,4.81,72.07
5,1767,4.0,4,2,1,1,3,5.67,1,2,84.0,3.24,63.42
1,344,2.0,3,1,0,1,3,5.44,1,2,118.0,3.83,66.81
5,1502,4.0,2,2,2,1,0,6.4,1,2,83.0,2.93,36.35
1,197,2.0,2,2,0,0,2,3.88,3,1,49.0,4.3,68.19
1,825,3.0,1,1,0,1,0,5.82,3,2,100.0,4.79,70.71
5,1269,5.0,1,2,0,1,3,7.49,0,2,143.0,3.16,46.74
4,987,6.0,2,1,0,1,4,6.22,3,2,98.0,3.85,73.32
1,479,4.0,1,2,1,1,2,7.37,3,2,152.0,3.46,54.54
1,447,2.0,1,1,1,2,0,7.35,3,2,152.0,4.09,78.84
4,431,4.0,1,1,1,1,0,5.56,3,2,107.0,4.16,80.25
5,1259,2.0,2,1,1,1,0,7.38,3,2,105.0,4.15,93.82
5,1156,2.0,4,1,0,1,4,6.82,3,2,119.0,3.82,77.82
4,921,7.0,2,0,1,0,2,4.22,1,2,119.0,2.89,77.71
3,403,3.0,1,1,0,1,3,6.1,1,2,131.0,3.81,68.65
5,2047,4.0,1,1,0,2,0,6.77,1,2,94.0,4.17,85.67
5,1790,3.923768001056943,1,0,4,1,3,4.19,0,2,117.0,3.21,79.11
1,151,1.0,3,0,2,1,4,4.94,1,2,91.0,1.98,69.4
2,2218,9.0,3,2,1,1,4,2.52,3,1,34.0,3.39,74.88
5,1677,3.0,2,1,1,2,3,6.58,3,2,156.0,3.77,84.3
1,215,4.0,1,1,0,1,3,5.68,3,2,93.0,4.49,85.41
4,588,7.0,2,0,4,2,0,7.86,3,2,157.0,4.08,98.87
5,1788,4.0,1,3,0,1,0,4.75,1,1,101.0,4.23,84.06
3,269,3.0,1,0,0,1,2,7.86,1,2,112.0,3.51,92.32
1,165,3.0,2,2,2,2,2,6.79,3,2,117.0,2.88,79.75
5,1632,2.0,3,2,1,1,2,5.5,0,3,82.0,2.31,23.91
1,708,2.0,3,1,0,1,2,5.53,1,2,112.0,3.52,64.61
2,4005,14.0,5,1,0,1,0,6.65,3,2,121.0,4.76,79.27
3,391,0.0,1,2,0,2,2,9.49,1,0,157.0,3.38,66.8
1,540,2.0,3,0,0,1,0,3.39,3,1,71.0,4.91,90.16
5,2185,5.0,1,1,0,1,3,4.22,3,2,117.0,4.47,75.66
3,337,3.0,1,0,2,1,0,5.94,1,2,101.0,2.91,86.91
5,1948,4.0,4,0,3,1,2,6.13,3,2,109.0,2.27,81.89
2,3237,7.0,3,2,0,1,0,6.54,0,2,83.0,3.55,57.86
5,1365,2.0,3,2,0,1,0,7.27,4,2,134.0,4.11,74.85
1,880,3.0,2,1,1,2,0,6.23,3,2,156.0,4.09,78.76
5,1559,2.0,4,2,1,1,2,5.55,1,2,111.0,2.9,32.35
2,3940,8.0,3,0,0,1,4,3.76,1,1,84.0,3.32,77.65
1,950,2.0,1,1,0,1,0,7.0,1,2,163.0,4.08,87.36
1,620,1.0,3,1,0,1,3,5.4,3,2,95.0,4.49,88.54
5,1517,5.0,2,1,1,1,0,8.67,0,0,181.0,2.73,55.6
3,396,1.0,1,3,4,1,0,6.87,3,2,85.0,4.18,78.78
4,1079,5.0,1,0,1,1,0,6.74,3,2,109.0,4.15,77.73
1,220,3.0,3,1,2,1,0,4.83,1,2,114.0,2.9,59.26
1,269,3.0,1,2,1,1,0,8.43,2,0,194.0,2.08,23.12
5,2077,3.0,1,1,0,1,3,6.86,0,2,162.0,3.14,79.33
5,1522,5.0,3,1,0,1,0,5.05,1,2,115.0,4.15,85.71
1,303,4.0,2,3,1,2,3,4.17,1,2,110.0,3.22,72.24
4,1000,5.0,3,2,2,2,0,6.15,0,2,107.0,2.27,76.86
1,474,1.0,2,1,0,1,2,5.3,3,2,98.0,4.17,82.49
5,1645,4.0,4,1,0,1,2,6.48,3,2,133.0,4.12,92.15
1,641,3.0,2,1,1,1,3,5.98,1,2,83.0,3.24,62.38
3,289,0.0,1,0,0,1,3,5.85,1,2,83.0,3.87,73.71
1,368,4.0,2,1,0,1,0,6.28,3,2,143.0,4.73,68.88
2,3662,12.0,5,2,0,1,2,6.12,3,2,123.0,4.13,74.36
4,1041,6.0,3,2,0,1,0,7.99,3,2,153.0,4.71,82.46
5,1669,5.0,1,1,2,2,2,6.16,0,2,119.0,1.63,76.2
1,330,2.0,3,1,4,1,3,5.5,3,2,92.0,3.86,77.32
5,1294,3.0,2,2,0,2,3,6.17,3,2,159.0,4.4,74.51
1,357,2.0,2,2,0,1,4,7.74,2,2,167.0,1.87,22.88
3,340,0.0,1,0,1,2,2,6.67,3,2,107.0,3.52,85.74
5,2039,4.0,1,2,0,1,0,5.44,0,0,81.0,3.5,48.84
2,3968,9.0,2,1,2,1,0,5.01,0,2,118.0,2.26,70.43
1,445,2.0,2,1,1,1,0,4.54,3,2,115.0,4.15,89.65
4,1007,4.0,2,0,1,0,0,5.64,1,2,87.0,3.55,70.44
5,1828,5.0,3,1,1,1,2,8.09,3,0,183.0,3.36,80.27
0,210,1.0,1,1,0,1,0,5.77,1,2,118.0,4.14,78.55
4,670,7.0,2,1,1,1,3,8.4,2,0,167.0,1.8,37.83
5,1340,3.0,3,0,0,1,0,7.63,3,2,170.0,4.69,83.26
2,3774,14.0,6,2,4,1,0,5.49,1,2,82.0,4.19,73.98
1,814,2.0,1,0,1,1,0,5.99,3,0,94.0,4.11,73.34
1,618,2.0,3,1,1,1,0,7.34,0,2,101.0,2.9,62.45
5,1686,4.0,1,2,1,1,0,6.58,1,2,88.0,3.55,75.33
2,1844,7.0,2,2,0,1,4,6.08,3,2,106.0,3.84,63.26
1,236,3.0,2,1,0,1,2,6.89,1,2,148.0,3.47,60.35
1,608,3.0,1,1,0,1,3,7.05,3,2,148.0,4.41,83.26
1,934,2.0,3,2,0,1,2,6.61,3,2,121.0,4.13,75.59
1,622,2.0,3,1,1,0,3,7.98,3,2,528.0,3.77,84.36
4,1270,6.0,1,1,0,0,2,7.32,3,2,134.0,4.11,80.31
5,2152,4.0,2,0,1,1,0,7.15,1,0,84.0,3.49,70.45
5,1867,3.0,3,1,0,1,2,6.11,0,2,121.0,2.88,65.49
5,1625,2.0,2,1,1,1,0,6.87,3,2,102.0,4.15,88.75
5,1548,4.0,4,1,0,2,2,6.45,3,2,151.0,4.1,83.24
5,1480,4.0,3,1,0,2,0,8.44,3,0,161.0,4.64,84.59
4,1126,4.0,2,1,1,1,0,4.96,1,2,113.0,3.53,73.67
5,1653,5.0,1,0,0,1,0,2.93,3,1,5.0,4.99,97.83
5,1244,4.0,4,2,0,1,0,5.9,0,2,95.0,3.54,69.24
5,1351,3.0,2,1,3,1,3,7.73,1,2,123.0,1.93,69.64
5,1505,3.0,1,0,2,1,0,5.28,1,2,91.0,2.92,91.43
0,626,4.0,1,2,0,1,0,8.32,1,0,166.0,4.0,69.44
4,495,6.0,3,1,0,1,0,5.66,3,2,97.0,4.8,70.86
1,663,3.0,3,2,1,1,0,5.11,1,2,115.0,3.52,56.14
2,2514,9.0,2,2,0,1,0,6.76,1,2,153.0,4.09,69.51
3,423,3.923768001056943,2,0,0,1,2,7.1,3,2,107.0,4.15,74.65
1,479,1.0,2,2,1,1,3,7.46,3,2,111.0,3.83,73.69
1,692,1.0,1,2,0,1,0,7.48,3,2,95.0,4.79,77.81
1,171,4.0,2,1,0,1,4,7.33,3,2,169.0,3.75,72.63
2,4230,15.0,5,2,0,1,1,4.85,1,2,80.0,3.88,65.71
5,1880,3.923768001056943,1,2,0,1,3,6.84,3,2,127.0,4.44,82.6
2,2509,13.0,5,1,1,2,0,6.96,3,2,109.0,4.15,88.61
1,488,2.0,2,1,0,2,0,6.58,3,2,169.0,4.7,82.53
5,1546,2.0,2,0,0,1,3,7.63,3,2,145.0,4.41,79.6
1,731,4.0,3,2,3,1,0,4.41,1,2,98.0,2.29,42.27
1,746,2.0,2,1,0,1,0,6.98,1,2,85.0,4.18,86.26
5,1246,4.0,4,1,0,1,0,6.03,2,2,157.0,2.84,64.27
3,251,2.0,2,1,0,2,3,3.49,3,1,42.0,4.63,89.66
5,2088,5.0,1,1,1,1,0,4.25,0,2,97.0,2.92,62.62
5,2291,3.0,4,0,0,1,2,6.28,3,2,101.0,4.16,84.12
3,263,2.0,1,0,1,1,3,6.1,3,2,104.0,3.84,69.43
1,484,1.0,3,1,0,2,4,5.64,1,2,81.0,3.25,86.28
1,435,3.0,3,1,1,1,3,7.11,2,2,139.0,1.91,45.31
4,1271,4.0,2,3,2,1,0,4.56,0,2,109.0,2.28,66.2
1,10970,2.0,3,1,0,2,4,3.08,2,1,1.0,2.17,81.31
